التصنيف,العنوان,النوع,الأولوية,الموعد,ملاحظة
مهمة,مذبحة التابات وإغلاق النوافذ غير الضرورية,شخصي,عالية,2026-09-07,الإبقاء على 3 تابات عمل فقط وأرشفة/إغلاق الباقي
مهمة,تصفية 3 مهام معلقة سريعة (أقل من 5 دقائق),عمل,عالية,2026-09-07,إنجازها دفعة واحدة في 15 دقيقة لكسر التسويف
مهمة,ترتيب مكان شحن الهاتف بعيداً عن السرير,شخصي,متوسطة,2026-09-07,شاحن سليم ومكانه يبعد خطوتين على الأقل عن السرير
مهمة,إعادة ضبط نظام المنبهات (منبهين فقط),شخصي,عالية,2026-09-08,المنبه الأساسي + منبه طوارئ بعد 15 دقيقة فقط
مهمة,تطبيق قاعدة المهام الثلاث الرئيسية لليوم,عمل,عالية,2026-09-08,تحديد أهم 3 مهام يومياً وإنجاز المهمة الكبرى صباحاً
مهمة,جلستان عمل عميق ومكثف (Deep Work - 25 دقيقة),عمل,متوسطة,2026-09-09,التركيز بدون مقاطعات أو هاتف بنظام بومودورو
مهمة,نشاط بدني خفيف وشرب 2 لتر ماء,صحة,متوسطة,2026-09-10,مشي 20 دقيقة والحفاظ على ترطيب الجسم طوال اليوم
مهمة,جلسة مراجعة أسبوعية وتخطيط الأسبوع القادم,تطوير,متوسطة,2026-09-13,تقييم ما تم إنجازه وتحديد أولويات الـ 3 مهام للأسبوع الجديد
فكرة,نظام الحد الأدنى الفعّال (Minimum Effective Dose),تطوير,متوسطة,,الاعتماد على استمرارية 20% لتحقيق 80% من النتائج بدلاً من المثالية المرهقة
قرار,الالتزام بإنهاء المهام القصيرة فوراً (قاعدة الـ 5 دقائق),تطوير,عالية,2026-09-07,أي مهمة تستغرق أقل من 5 دقائق تنفذ فوراً دون تأجيل
